id,name,party,sector,type
AW,Anne Will,keine,Journalismus,1
UL,Ursule von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,1
SW,Sahra Wagenknecht,Linke,Politik,1
NR,Norbert Röttgen,CDU,Politik,1
CS,Constanze Stelzenmüller,keine,Wissenschaft,2
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schlögel,keine,Wissenschaft,1
LM,Ljyudmyla Melnyk,keine,Wissenschaft,1
KD,Kristina Dunz,keine,Journalismus,2
AB,Annalena Baerbock,Grüne,Politik,1
FT,Frans Timmermans,keine,Politik,2
AM,Andrij Melnyk,keine,Politik,2
AL,Alexander Graf Lambsdorff,FDP,Politik,1
ER,Egon Ramms,keine,Militär,2
RH,Robert Habeck,Grüne,Politik,1
CM,Claudia Major,keine,Wissenschaft,2
KP,Katja Petrowskaja,keine,Journalismus,1
RK,Roderich Kiesewetter,CDU,Politik,1
CLa,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,keine,Politik,1
CH,CHristoph Heusgen,keine,Militär,2
MW,Marina Weisband,keine,Autor,1
OS,Olaf Scholz,SPD,Politik,1